CustomerID,Lookalikes
C0001,"[('C0112', np.float64(0.8784)), ('C0120', np.float64(0.8454)), ('C0118', np.float64(0.7997))]"
C0002,"[('C0134', np.float64(0.9356)), ('C0106', np.float64(0.9148)), ('C0159', np.float64(0.9088))]"
C0003,"[('C0031', np.float64(0.9256)), ('C0129', np.float64(0.8741)), ('C0195', np.float64(0.8618))]"
C0004,"[('C0113', np.float64(0.956)), ('C0104', np.float64(0.8986)), ('C0102', np.float64(0.8452))]"
C0005,"[('C0007', np.float64(0.9749)), ('C0140', np.float64(0.8768)), ('C0186', np.float64(0.777))]"
C0006,"[('C0187', np.float64(0.9048)), ('C0171', np.float64(0.7542)), ('C0126', np.float64(0.7411))]"
C0007,"[('C0005', np.float64(0.9749)), ('C0140', np.float64(0.8932)), ('C0186', np.float64(0.713))]"
C0008,"[('C0098', np.float64(0.841)), ('C0194', np.float64(0.8385)), ('C0024', np.float64(0.8181))]"
C0009,"[('C0198', np.float64(0.8793)), ('C0062', np.float64(0.8076)), ('C0010', np.float64(0.7909))]"
C0010,"[('C0061', np.float64(0.8964)), ('C0062', np.float64(0.8545)), ('C0009', np.float64(0.7909))]"
C0011,"[('C0153', np.float64(0.8921)), ('C0171', np.float64(0.8693)), ('C0126', np.float64(0.8662))]"
C0012,"[('C0039', np.float64(0.836)), ('C0163', np.float64(0.7691)), ('C0195', np.float64(0.7396))]"
C0013,"[('C0087', np.float64(0.8391)), ('C0099', np.float64(0.7985)), ('C0102', np.float64(0.756))]"
C0014,"[('C0060', np.float64(0.8939)), ('C0151', np.float64(0.8207)), ('C0097', np.float64(0.8064))]"
C0015,"[('C0131', np.float64(0.8455)), ('C0036', np.float64(0.8241)), ('C0189', np.float64(0.6933))]"
C0016,"[('C0183', np.float64(0.9926)), ('C0067', np.float64(0.8729)), ('C0072', np.float64(0.8616))]"
C0017,"[('C0075', np.float64(0.9331)), ('C0041', np.float64(0.8814)), ('C0057', np.float64(0.8315))]"
C0018,"[('C0117', np.float64(0.8158)), ('C0046', np.float64(0.7664)), ('C0050', np.float64(0.7281))]"
C0019,"[('C0121', np.float64(0.8466)), ('C0070', np.float64(0.8064)), ('C0064', np.float64(0.7043))]"
C0020,"[('C0050', np.float64(0.8752)), ('C0035', np.float64(0.7804)), ('C0026', np.float64(0.7658))]"
